,MLP,FCN,ResNet,Encoder,MCNN,t-LeNet,MCDCNN,Time-CNN,TWIESN
50words,68.4(7.1),62.7(6.1),74.0(1.5),72.3(1.0),22.0(24.3),12.5(0.0),58.9(5.3),62.1(1.0),49.6(2.6)
Adiac,39.7(1.9),84.4(0.7),82.9(0.6),48.4(2.5),2.2(0.6),2.0(0.0),61.0(8.7),37.9(2.0),41.6(4.5)
ArrowHead,77.8(1.2),84.3(1.5),84.5(1.2),80.4(2.9),33.9(4.7),30.3(0.0),68.5(6.7),72.3(2.6),65.9(9.4)
Beef,72.0(2.8),69.7(4.0),75.3(4.2),64.3(5.0),20.0(0.0),20.0(0.0),56.3(7.8),76.3(1.1),53.7(14.9)
BeetleFly,87.0(2.6),86.0(9.7),85.0(2.4),74.5(7.6),50.0(0.0),50.0(0.0),58.0(9.2),89.0(3.2),73.0(7.9)
BirdChicken,77.5(3.5),95.5(3.7),88.5(5.3),66.5(5.8),50.0(0.0),50.0(0.0),58.0(10.3),60.5(9.0),74.0(15.6)
CBF,87.2(0.7),99.4(0.1),99.5(0.3),94.7(1.2),33.2(0.1),33.2(0.1),82.0(20.5),95.7(1.0),89.0(4.9)
Car,76.7(2.6),90.5(1.4),92.5(1.4),75.8(2.0),24.0(2.7),31.7(0.0),73.0(3.0),78.2(1.2),78.3(4.0)
ChlorineConcentration,80.2(1.1),81.4(0.9),84.4(1.0),57.3(1.1),53.3(0.0),53.3(0.0),64.3(3.8),60.0(0.8),55.3(0.3)
CinC_ECG_torso,84.0(1.0),82.4(1.2),82.6(2.4),91.1(2.7),38.1(28.0),25.0(0.1),73.6(15.2),74.5(4.9),30.0(2.9)
Coffee,99.6(1.1),100.0(0.0),100.0(0.0),97.9(1.8),51.4(3.5),53.6(0.0),98.2(2.5),99.6(1.1),97.1(2.8)
Computers,56.3(1.6),82.2(1.0),81.5(1.2),57.4(2.2),52.2(4.8),50.0(0.0),55.9(3.3),54.8(1.5),62.9(4.1)
Cricket_X,59.1(1.1),79.2(0.7),79.1(0.6),69.4(1.6),18.9(23.8),7.4(0.0),49.5(5.3),55.2(2.9),62.2(2.1)
Cricket_Y,60.0(0.8),78.7(1.2),80.3(0.8),67.5(1.0),18.4(22.0),8.5(0.0),49.7(4.3),57.0(2.4),65.6(1.3)
Cricket_Z,61.7(0.8),81.1(1.0),81.2(1.4),69.2(1.0),18.3(24.4),6.2(0.0),49.8(3.6),48.8(2.8),62.2(2.3)
DiatomSizeReduction,91.0(1.4),31.3(3.6),30.1(0.2),91.3(1.8),30.1(0.7),30.1(0.0),70.3(28.9),95.4(0.7),88.0(6.6)
DistalPhalanxOutlineAgeGroup,65.7(1.1),71.0(1.3),71.7(1.3),73.7(1.6),46.8(0.0),44.6(2.3),74.4(2.2),75.2(1.4),71.0(2.1)
DistalPhalanxOutlineCorrect,72.6(1.3),76.0(1.5),77.1(1.0),74.1(1.4),58.3(0.0),58.3(0.0),75.3(1.8),75.9(2.0),71.3(1.0)
DistalPhalanxTW,61.7(1.3),69.0(2.1),66.5(1.6),68.8(1.6),30.2(0.0),28.3(0.7),67.7(1.8),67.3(2.8),60.9(3.0)
ECG200,91.6(0.7),88.9(1.0),87.4(1.9),92.3(1.1),64.0(0.0),64.0(0.0),83.3(3.9),81.4(1.3),84.2(5.1)
ECG5000,92.9(0.1),94.0(0.1),93.4(0.2),94.0(0.2),61.8(10.9),58.4(0.0),93.7(0.6),92.8(0.2),91.9(0.2)
ECGFiveDays,97.0(0.5),98.7(0.3),97.5(1.9),98.2(0.7),49.9(0.3),49.7(0.0),76.2(13.4),88.2(1.8),69.8(14.1)
