,MLP,FCN,ResNet,Encoder,MCNN,t-LeNet,MCDCNN,CNN,TWIESN
50words,7.1,6.1,1.5,1.0,24.3,0.0,5.3,1.0,2.6
Adiac,1.9,0.7,0.6,2.5,0.6,0.0,8.7,2.0,4.5
ArrowHead,1.2,1.5,1.2,2.9,4.7,0.0,6.7,2.6,9.4
Beef,2.8,4.0,4.2,5.0,0.0,0.0,7.8,1.1,14.9
BeetleFly,2.6,9.7,2.4,7.6,0.0,0.0,9.2,3.2,7.9
BirdChicken,3.5,3.7,5.3,5.8,0.0,0.0,10.3,9.0,15.6
CBF,0.7,0.1,0.3,1.2,0.1,0.1,20.5,1.0,4.9
Car,2.6,1.4,1.4,2.0,2.7,0.0,3.0,1.2,4.0
ChlorineConcentration,1.1,0.9,1.0,1.1,0.0,0.0,3.8,0.8,0.3
CinC_ECG_torso,1.0,1.2,2.4,2.7,28.0,0.1,15.2,4.9,2.9
Coffee,1.1,0.0,0.0,1.8,3.5,0.0,2.5,1.1,2.8
Computers,1.6,1.0,1.2,2.2,4.8,0.0,3.3,1.5,4.1
Cricket_X,1.1,0.7,0.6,1.6,23.8,0.0,5.3,2.9,2.1
Cricket_Y,0.8,1.2,0.8,1.0,22.0,0.0,4.3,2.4,1.3
Cricket_Z,0.8,1.0,1.4,1.0,24.4,0.0,3.6,2.8,2.3
DiatomSizeReduction,1.4,3.6,0.2,1.8,0.7,0.0,28.9,0.7,6.6
DistalPhalanxOutlineAgeGroup,1.1,1.3,1.3,1.6,0.0,2.3,2.2,1.4,2.1
DistalPhalanxOutlineCorrect,1.3,1.5,1.0,1.4,0.0,0.0,1.8,2.0,1.0
DistalPhalanxTW,1.3,2.1,1.6,1.6,0.0,0.7,1.8,2.8,3.0
ECG200,0.7,1.0,1.9,1.1,0.0,0.0,3.9,1.3,5.1
ECG5000,0.1,0.1,0.2,0.2,10.9,0.0,0.6,0.2,0.2
ECGFiveDays,0.5,0.3,1.9,0.7,0.3,0.0,13.4,1.8,14.1
Earthquakes,1.3,1.7,2.0,0.7,0.0,0.0,0.2,1.9,0.0
ElectricDevices,1.1,1.2,0.9,1.1,19.8,0.0,1.2,1.0,0.7
FISH,0.8,0.6,0.8,0.9,1.3,0.0,3.9,0.5,3.4
FaceAll,1.1,0.9,2.0,0.8,19.5,0.0,2.3,1.1,2.5
FaceFour,1.4,0.9,0.0,2.6,5.7,0.0,13.5,1.1,6.2
FacesUCR,0.3,0.2,0.4,0.4,2.7,0.0,5.1,0.7,2.0
FordA,0.4,0.2,0.4,0.3,0.0,0.8,2.6,0.7,2.1
FordB,0.3,0.6,0.3,0.5,1.2,0.0,2.9,1.5,1.2
Gun_Point,1.1,0.0,0.7,3.2,3.9,0.0,9.6,1.9,2.3
Ham,1.4,1.4,2.7,1.2,1.4,0.0,4.2,2.0,6.3
HandOutlines,0.5,7.9,1.4,2.3,0.0,0.0,0.6,1.2,0.7
Haptics,1.4,2.4,1.2,1.6,3.5,0.0,3.3,2.4,4.5
Herring,3.9,7.7,3.8,4.8,0.0,0.0,5.2,1.7,6.5
InlineSkate,1.0,0.8,0.9,0.9,1.6,1.1,2.2,1.2,6.8
InsectWingbeatSound,0.4,0.6,0.9,0.6,14.2,0.0,2.6,0.6,2.0
ItalyPowerDemand,0.2,0.3,0.4,0.5,0.2,0.0,1.9,0.4,2.2
LargeKitchenAppliances,0.6,0.4,0.5,2.6,16.5,0.0,2.8,5.0,1.8
Lighting2,2.1,1.4,1.7,4.6,5.2,0.0,5.9,2.5,4.1
Lighting7,1.7,2.3,2.0,2.3,11.3,0.0,5.9,3.3,6.6
MALLAT,0.6,0.9,0.3,2.0,3.7,0.1,5.7,0.7,9.8
Meat,1.7,6.9,2.5,11.0,0.0,0.0,8.8,1.8,2.0
MedicalImages,0.7,0.4,0.7,1.5,0.0,0.0,1.4,1.1,2.7
MiddlePhalanxOutlineAgeGroup,1.8,1.8,2.1,2.9,0.0,0.0,3.8,1.5,2.6
MiddlePhalanxOutlineCorrect,1.1,1.0,1.2,2.3,0.0,0.0,1.6,1.3,2.3
MiddlePhalanxTW,1.6,1.8,2.0,1.0,0.0,0.0,2.4,1.7,2.9
MoteStrain,0.9,0.5,0.5,1.0,4.0,0.0,14.4,0.9,4.2
NonInvasiveFatalECG_Thorax1,0.4,0.3,0.3,0.4,29.3,0.0,1.2,0.5,4.2
NonInvasiveFatalECG_Thorax2,0.3,0.3,0.3,0.9,29.2,0.0,1.5,0.3,3.2
OSULeaf,1.0,0.9,0.8,2.0,12.8,0.0,4.6,2.7,5.4
OliveOil,3.8,16.6,8.5,0.0,4.2,4.2,0.0,0.0,6.1
PhalangesOutlinesCorrect,2.1,0.5,1.2,1.4,0.0,0.0,1.1,4.7,0.4
Phoneme,0.3,0.5,0.7,0.8,4.0,0.0,1.0,0.3,1.4
Plane,0.5,0.0,0.0,0.8,4.5,1.4,3.2,1.4,0.0
